Symbol,Date,CMP,S1,S1_prob,S1_n,R1,R1_prob,R1_n,S2,S2_prob,S2_n,R2,R2_prob,R2_n
PREMIERENE,2026-07-21,1048.4,1019.6,69,360,1051.82,58,447,974.3,74.0,175.0,1099.22,72.0,253.0
RADICO,2026-07-20,4157.1,3478.19,66,28,4165.0,58,447,3270.06,66.0,28.0,,,
RADICO,2026-07-22,4147.5,3494.64,66,28,4193.0,58,447,3283.01,66.0,28.0,,,
RADICO,2026-07-23,4065.3,3494.64,66,28,4193.0,69,360,3283.01,66.0,28.0,,,
RELIANCE,2026-07-14,1293.0,1290.83,61,174,1311.8,61,174,1253.2,78.0,120.0,,,
RELIANCE,2026-07-16,1296.6,1290.83,61,174,1311.66,61,174,1253.2,78.0,120.0,1344.9,78.0,120.0
RELIANCE,2026-07-20,1323.1,1294.09,78,120,1344.9,61,174,,,,1371.72,78.0,120.0
RELIANCE,2026-07-21,1303.7,1294.09,61,174,1313.49,61,174,1253.2,78.0,120.0,1344.9,78.0,120.0
RELIANCE,2026-07-23,1272.2,1257.8,61,174,1311.71,78,120,,,,,,
SOLARINDS,2026-07-09,17971.0,16832.0,74,175,18874.0,72,253,15034.28,66.0,28.0,,,
SONACOMS,2026-07-13,670.85,618.95,74,175,682.2,58,447,553.94,66.0,28.0,,,
SONACOMS,2026-07-16,683.4,618.95,71,111,690.85,58,447,553.94,66.0,28.0,,,
SONACOMS,2026-07-20,714.55,618.95,66,28,718.65,58,447,553.94,66.0,28.0,,,
SONACOMS,2026-07-21,732.75,618.95,66,28,734.2,58,447,553.94,66.0,28.0,,,
SONACOMS,2026-07-23,719.75,618.95,66,28,739.4,69,360,553.94,66.0,28.0,,,
SYRMA,2026-07-09,1441.0,817.79,67,63,1517.7,70,213,742.9,67.0,63.0,,,
SYRMA,2026-07-10,1441.0,817.79,67,63,1517.7,70,213,742.9,67.0,63.0,,,
SYRMA,2026-07-13,1431.7,833.47,67,63,1517.7,74,160,743.27,67.0,63.0,,,
SYRMA,2026-07-14,1421.8,800.1,67,63,1517.7,74,160,755.94,67.0,63.0,,,
SYRMA,2026-07-16,1423.9,800.1,67,63,1517.7,74,160,755.94,67.0,63.0,,,
SYRMA,2026-07-20,1340.8,800.1,67,63,1517.7,67,63,755.94,67.0,63.0,,,
SYRMA,2026-07-23,1380.0,800.1,67,63,1517.7,71,107,755.94,67.0,63.0,,,
VOLTAS,2026-07-14,1358.9,1328.53,69,360,1365.52,58,447,1305.4,69.0,360.0,1407.2,69.0,360.0
VOLTAS,2026-07-16,1373.9,1365.52,58,447,1407.29,69,360,1328.53,69.0,360.0,1463.63,74.0,175.0
VOLTAS,2026-07-20,1357.4,1355.66,58,447,1407.28,69,360,1328.53,69.0,360.0,1463.63,74.0,175.0
VOLTAS,2026-07-21,1359.2,1355.66,58,447,1407.27,69,360,1328.53,69.0,360.0,1463.63,74.0,175.0
VOLTAS,2026-07-23,1310.2,1305.4,58,447,1355.66,69,360,1277.7,69.0,360.0,1407.26,74.0,175.0
WELCORP,2026-07-14,1683.4,917.42,67,63,1694.8,58,347,816.29,67.0,63.0,,,
WELCORP,2026-07-15,1682.1,918.27,67,63,1698.8,58,347,816.29,67.0,63.0,,,
WELCORP,2026-07-16,1684.0,918.27,67,63,1698.8,58,347,816.29,67.0,63.0,,,
WELCORP,2026-07-17,1581.5,918.27,67,63,1698.8,74,160,816.29,67.0,63.0,,,
WELCORP,2026-07-20,1615.8,918.27,67,63,1698.8,70,213,816.29,67.0,63.0,,,
WELCORP,2026-07-21,1635.0,918.27,67,63,1698.8,67,308,816.29,67.0,63.0,,,
WELCORP,2026-07-22,1600.8,918.27,67,63,1698.8,74,160,816.29,67.0,63.0,,,
WELCORP,2026-07-23,1612.8,1389.07,67,63,1698.8,70,213,918.27,67.0,63.0,,,
WIPRO,2026-07-14,177.14,175.08,58,447,189.66,74,175,,,,204.24,66.0,28.0
WIPRO,2026-07-15,175.19,175.08,58,447,189.66,71,111,,,,204.24,66.0,28.0
WIPRO,2026-07-16,177.74,175.08,58,447,189.66,74,175,169.0,72.0,253.0,204.24,66.0,28.0
WIPRO,2026-07-17,176.0,175.08,58,447,189.66,74,175,169.0,69.0,360.0,204.24,66.0,28.0
WIPRO,2026-07-20,176.38,175.08,58,447,189.66,74,175,169.0,72.0,253.0,204.24,66.0,28.0
WIPRO,2026-07-21,174.92,169.0,78,120,175.08,61,174,,,,189.66,66.0,15.0
WIPRO,2026-07-22,174.44,169.0,78,120,175.08,61,174,,,,189.66,66.0,15.0
WIPRO,2026-07-23,174.82,169.0,78,120,175.08,61,174,,,,189.66,66.0,15.0
